California Department of Finance,,,,,,,,,,,,,,,,,,,,Census 2010,,
Demographic Research Unit,,,,,,,,,,,,,,,,,,,,Demographic Profile Summary File,,
State Census Data Center,,,,,,,,,,,,,,,,,,,,Generated on 8-17-2012,,
Phone:  916-323-4086,,,,,,,,,,,,,,,,,,,,,,
"Table 3a: Race Detail (Hispanic Inclusive),  April 1, 2010",,,,,,,,,,,,,,,,,,,,,,
School Districts in California,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
  Geography,Total Population,Total Population of One Race,,,,Asian,,,,,,,,Native Hawaiian and Other Pacific Islander (NHOPI),,,,,,Total Population of Two or More Races,,
Coronado Unified School District,"24,696","23,740","20,073","1,678",201,925,34,133,475,80,54,52,97,101,25,24,14,38,762,956,,9700609870
Corona-Norco Unified School District,"256,162","243,661","150,036","16,042","1,906","29,616","3,985","5,477","8,296",742,"3,360","3,811","3,945",837,164,160,248,265,"45,224","12,501",,9700609850
Cotati-Rohnert Park Unified School District,"52,116","49,193","40,313",952,507,"2,609",347,510,643,230,210,217,452,217,46,12,45,114,"4,595","2,923",,9700609940
Cottonwood Union Elementary School District,"8,632","8,304","7,663",30,229,156,16,4,17,12,11,3,93,4,3,0,1,0,222,328,,9500609990
Covina-Valley Unified School District,"77,281","73,895","42,570","3,017",869,"10,462",683,"3,781","3,092",518,341,943,"1,104",148,54,20,40,34,"16,829","3,386",,9700610050
Cox Bar Elementary School District,246,235,204,2,15,1,0,0,1,0,0,0,0,0,0,0,0,0,13,11,,9500610080
Cucamonga Elementary School District,"27,185","25,710","12,526","3,835",234,"2,837",287,504,974,74,268,294,436,130,8,25,38,59,"6,148","1,475",,9500616300
Cuddeback Union Elementary School District,879,853,801,2,25,7,4,1,0,1,0,0,1,4,4,0,0,0,14,26,,9500610230
Culver City Unified School District,"39,062","36,689","23,546","3,727",191,"5,767",927,"1,067",834,"1,409",632,155,743,81,25,7,5,44,"3,377","2,373",,9700610260
Cupertino Union Elementary School District,"138,600","133,658","50,648","1,274",316,"78,747","26,066","35,888","1,700","4,245","5,980","2,025","2,843",181,38,59,30,54,"2,492","4,942",,9500610290
Curtis Creek Elementary School District,"9,159","8,866","8,474",27,123,99,7,19,37,10,10,2,14,7,6,0,0,1,136,293,,9500610320
Cutler-Orosi Joint Unified School District,"18,589","17,924","8,977",151,166,"1,016",23,6,802,48,2,4,131,5,3,0,0,2,"7,609",665,,9700610350
Cutten Elementary School District,"5,228","4,952","4,449",44,186,147,6,22,24,12,6,6,71,13,3,0,2,8,113,276,,9500610380
Cuyama Joint Unified School District,"1,157","1,113",919,8,18,11,0,1,7,2,0,1,0,0,0,0,0,0,157,44,,9700600009
Cypress Elementary School District,"43,516","41,402","22,817","1,410",267,"14,215",983,"2,065","2,700","1,126","5,550",730,"1,061",200,23,84,62,31,"2,493","2,114",,9500610440
Davis Joint Unified School District,"74,398","70,352","47,449","1,696",372,"17,020","1,917","7,690","1,215","1,034","1,814","1,423","1,927",145,25,26,19,75,"3,670","4,046",,9700610620
Death Valley Unified School District,765,726,670,9,27,6,0,2,2,0,1,0,1,4,4,0,0,0,10,39,,9700610680
Dehesa Elementary School District,"2,159","2,038","1,754",30,140,33,2,1,13,8,1,2,6,12,11,1,0,0,69,121,,9500610710
Del Mar Union Elementary School District,"41,400","39,761","30,143",369,78,"8,594","1,376","3,840",474,506,"1,433",554,411,35,7,11,5,12,542,"1,639",,9500610740
Del Norte County Unified School District,"28,610","27,312","21,098",993,"2,244",965,28,49,99,35,27,36,691,32,18,2,7,5,"1,980","1,298",,9700610770
Delano Joint Union High School District,"70,221","67,628","25,769","4,386",627,"7,564",366,42,"7,021",28,30,8,69,37,8,9,7,13,"29,245","2,593",,9600610860
Delano Union Elementary School District,"54,938","52,919","19,994","4,229",522,"6,795",324,36,"6,316",21,28,7,63,30,8,9,1,12,"21,349","2,019",,9500610890
Delhi Unified School District,"12,847","12,278","6,824",124,172,465,267,11,73,13,2,10,89,32,8,3,9,12,"4,661",569,,9700600039
Delphic Elementary School District,133,132,131,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,9500610980
Denair Unified School District,"7,939","7,647","6,231",58,91,206,84,29,49,21,12,3,8,5,1,0,0,4,"1,056",292,,9700611040
Desert Center Unified School District,242,231,192,1,7,3,0,0,3,0,0,0,0,0,0,0,0,0,28,11,,9700611100
Desert Sands Unified School District,"177,301","172,037","128,878","3,521","1,330","4,724",480,702,"1,649",462,454,507,470,155,73,20,15,47,"33,429","5,264",,9700611110
Di Giorgio Elementary School District,918,880,432,9,7,15,0,6,9,0,0,0,0,0,0,0,0,0,417,38,,9500611130
Dinuba Unified (9-12) in Kings River Union,"2,084","2,002",918,8,47,8,0,0,0,3,0,0,5,0,0,0,0,0,"1,021",82,,9600606016
Dinuba Unified (9-12) in Monson-Sultana Joint Union,"2,424","2,355","1,285",31,19,41,2,2,20,13,0,0,4,0,0,0,0,0,979,69,,9600606017
Dinuba Unified School District,"24,422","23,489","13,072",159,211,512,91,68,210,75,8,24,36,17,4,1,6,6,"9,518",933,,9700600065
Dixie Elementary School District,"21,296","20,459","17,556",390,105,"1,578",268,475,227,232,127,103,146,36,7,6,4,19,794,837,,9500611220
Dixon Unified School District,"21,340","20,231","15,255",586,204,735,89,113,325,77,28,35,68,71,16,22,16,17,"3,380","1,109",,9700611280
Dos Palos-Oro Loma Joint Unified School District,"10,449","10,015","6,781",403,113,107,48,6,32,7,6,1,7,15,1,7,0,7,"2,596",434,,9700600033
Douglas City Elementary School District,895,852,788,3,36,10,0,1,2,3,1,0,3,0,0,0,0,0,15,43,,9500611430
Downey Unified School District,"120,994","116,140","67,933","4,799",922,"8,507",675,623,"2,808",332,"2,656",406,"1,007",263,47,35,116,65,"33,716","4,854",,9700611460
Dry Creek Joint Elementary School District,"52,939","49,948","39,197","2,307",381,"5,662","1,886",386,"1,772",238,254,606,520,298,36,76,13,173,"2,103","2,991",,9500611490
Duarte Unified School District,"27,729","26,493","14,521","2,093",210,"3,859",303,"1,068","1,698",135,135,144,376,30,8,3,10,9,"5,780","1,236",,9700611520
Dublin Unified School District,"45,654","42,926","23,515","4,323",246,"12,121","3,048","3,561","2,522",375,931,715,969,286,83,66,53,84,"2,435","2,728",,9700600019
Ducor Union Elementary School District,"1,276","1,230",742,4,28,31,1,4,25,0,0,1,0,0,0,0,0,0,425,46,,9500611550
Dunham Elementary School District,831,794,706,13,3,18,0,3,5,6,3,0,1,2,1,0,0,1,52,37,,9500611610
Dunsmuir Elementary School District,"2,141","2,007","1,862",48,32,16,7,2,0,0,2,1,4,4,3,0,1,0,45,134,,9500611670
Dunsmuir Joint Union High School District,"2,499","2,351","2,193",52,40,17,7,3,0,0,2,1,4,4,3,0,1,0,45,148,,9600611700
Durham Unified School District,"5,157","4,995","4,694",16,56,31,8,2,8,4,4,4,1,4,1,0,0,3,194,162,,9700611730
Earlimart Elementary School District,"10,604","10,154","3,972",104,56,580,21,4,546,5,2,0,2,0,0,0,0,0,"5,442",450,,9500611760
East Nicolaus Joint Union High School District,"2,680","2,586","2,084",18,30,133,46,5,11,6,3,1,61,3,0,1,0,2,318,94,,9600611780
East Side Union High School District,"523,132","498,861","166,697","15,684","4,617","211,557","25,138","32,541","43,298","3,635","3,500","89,141","14,304","2,416",251,405,"1,014",746,"97,890","24,271",,9600611820
East Whittier City Elementary School District,"73,117","69,945","47,757",967,825,"3,353",183,579,"1,097",486,450,162,396,117,29,19,40,29,"16,926","3,172",,9500611850
Eastern Sierra Unified School District,"4,258","4,136","3,547",14,238,26,0,2,7,6,5,2,4,1,1,0,0,0,310,122,,9700611870
Eastside Union Elementary School District,"24,221","23,015","11,964","4,350",202,805,41,53,535,35,29,36,76,57,8,21,22,6,"5,637","1,206",,9500611910
Edison Elementary School District,"5,899","5,636","3,477",77,150,67,18,3,37,2,4,0,3,4,4,0,0,0,"1,861",263,,9500611940
El Centro Elementary School District,"38,593","36,519","22,820","1,013",515,705,124,121,271,29,78,39,43,36,5,13,11,7,"11,430","2,074",,9500612030
El Dorado Union High School District,"136,722","131,326","119,919","1,075","1,592","4,833",956,"1,002","1,165",404,503,346,457,225,81,51,13,80,"3,682","5,396",,9600612070
El Monte City Elementary School District,"82,353","79,787","32,196",625,726,"25,011",284,"13,858","1,275",328,209,"6,748","2,309",106,29,16,33,28,"21,123","2,566",,9500612090
El Monte Union High School District,"172,581","167,270","65,772","1,231","1,627","51,445",520,"28,520","2,465",642,364,"13,812","5,122",175,49,28,49,49,"47,020","5,311",,9600612120
El Nido Elementary School District,"1,682","1,644","1,146",90,11,24,2,5,7,0,1,0,9,3,0,3,0,0,370,38,,9500612150
El Rancho Unified School District,"60,190","57,918","35,911",580,843,"1,591",68,241,769,131,63,135,184,41,14,13,5,9,"18,952","2,272",,9700612180
El Segundo Unified School District,"16,595","15,638","12,943",334,68,"1,456",275,304,255,229,96,53,244,38,21,5,4,8,799,957,,9700612210
El Tejon Unified School District,"8,427","8,073","7,284",64,122,117,11,13,30,24,18,3,18,5,2,0,0,3,481,354,,9700600026
Elk Grove Unified School District,"313,989","290,748","130,856","42,911","2,317","80,657","9,681","14,880","19,884","2,040","1,262","15,418","17,492","4,729",176,390,297,"3,866","29,278","23,241",,9700612330
Elk Hills Elementary School District,277,263,204,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,49,14,,9500612360
Elkins Elementary School District,271,255,203,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,16,,9500612420
Elverta Joint Elementary School District,"2,837","2,716","2,316",30,48,118,1,21,18,2,1,3,72,13,2,0,0,11,191,121,,9500612600
Emery Unified School District,"10,080","9,437","4,490","1,764",44,"2,775",424,967,399,159,415,120,291,16,6,4,1,5,348,643,,9700612630
Empire Union Elementary School District,"25,413","23,794","16,037",987,337,"1,148",213,107,237,26,22,61,482,360,14,19,31,296,"4,925","1,619",,9500612690
Encinitas Union Elementary School District,"69,981","67,514","60,185",439,283,"3,341",468,"1,019",479,555,344,189,287,84,38,17,3,26,"3,182","2,467",,9500612750
Enterprise Elementary School District,"32,136","30,530","26,449",448,744,"1,662",154,227,172,43,36,70,960,61,27,8,11,15,"1,166","1,606",,9500612810
Escalon Unified School District,"14,420","13,950","11,451",94,139,219,46,36,44,12,8,12,61,24,7,4,4,9,"2,023",470,,9700612840
Escondido Union Elementary School District,"161,430","154,527","101,003","3,801","1,598","9,706",554,850,"4,152",433,445,"1,942","1,330",381,104,122,95,60,"38,038","6,903",,9500612880
Escondido Union High School District,"164,660","157,653","103,653","3,869","1,616","9,844",573,874,"4,213",442,451,"1,945","1,346",388,105,127,95,61,"38,283","7,007",,9600612910
Esparto Unified School District,"5,931","5,698","3,790",103,132,219,19,25,73,17,15,19,51,35,12,2,7,14,"1,419",233,,9700612930
Etiwanda Elementary School District,"87,025","82,259","47,193","11,440",569,"12,963","1,370","2,327","4,936",274,"1,504",991,"1,561",233,49,20,35,129,"9,861","4,766",,9500612960
Eureka City Unified School District,"34,543","32,595","27,710",595,"1,249","1,404",74,150,138,83,70,51,838,206,41,5,32,128,"1,431","1,948",,9700600052
Eureka Union Elementary School District,"26,800","25,696","22,748",315,154,"2,052",548,479,305,222,124,137,237,53,19,12,7,15,374,"1,104",,9500613080
Evergreen Elementary School District,"99,633","95,505","25,804","2,691",576,"53,797","9,940","7,958","9,957",584,808,"20,871","3,679",356,37,61,157,101,"12,281","4,128",,9500613140
Evergreen Union Elementary School District,"8,431","8,094","7,596",23,222,66,0,18,23,7,9,2,7,8,4,3,0,1,179,337,,9500613170
Exeter Union Elementary School District,"13,492","13,010","9,607",91,224,224,44,44,59,22,12,6,37,13,2,0,0,11,"2,851",482,,9500613200
Exeter Union High School District,"16,293","15,708","11,850",99,263,246,44,50,65,22,15,6,44,21,2,0,0,19,"3,229",585,,9600613230
Fairfax Elementary School District,"13,990","13,319","6,981",575,230,310,107,7,141,4,4,7,40,19,2,7,10,0,"5,204",671,,9500613290
Fairfield-Suisun Unified School District,"129,381","117,929","58,712","21,190","1,042","19,597","2,020","1,291","12,071",745,470,937,"2,063","1,408",152,654,218,384,"15,980","11,452",,9700613360
Fall River Joint Unified School District,"8,042","7,749","6,793",28,450,28,1,3,10,8,2,1,3,8,5,0,0,3,442,293,,9700613470
Fallbrook Union Elementary School District,"60,442","57,870","44,672","2,002",547,"1,445",58,124,510,195,105,82,371,293,64,42,57,130,"8,911","2,572",,9500613500
Fallbrook Union High School District,"79,673","76,188","58,522","2,392","1,256","2,573",82,254,"1,011",304,195,241,486,426,94,65,130,137,"11,019","3,485",,9600613530
Farmersville Unified School District,"11,200","10,715","5,701",61,213,73,2,5,23,1,1,1,40,5,2,3,0,0,"4,662",485,,9700600035
Feather Falls Union Elementary School District,397,382,335,2,29,4,0,0,0,0,2,0,2,8,8,0,0,0,4,15,,9500613710
Ferndale Unified School District,"2,849","2,744","2,574",9,59,29,1,6,8,5,2,5,2,2,0,0,0,2,71,105,,9700600037
Fieldbrook Elementary School District,863,811,769,4,17,6,0,0,2,2,1,1,0,0,0,0,0,0,15,52,,9500613740
Fillmore Unified School District,"19,519","18,488","11,167",107,267,185,22,27,69,20,15,7,25,14,5,0,0,9,"6,748","1,031",,9700613800
Firebaugh-Las Deltas Joint Unified School District,"8,557","8,268","5,351",78,124,43,25,9,2,1,2,0,4,1,0,1,0,0,"2,671",289,,9700613840
Flournoy Union Elementary School District,268,264,244,1,1,7,0,1,6,0,0,0,0,2,1,0,0,1,9,4,,9500613860
Folsom-Cordova Unified School District,"122,238","115,722","84,114","9,255",972,"14,218","4,658","2,176","2,627",570,"1,186","1,214","1,787",672,76,88,109,399,"6,491","6,516",,9700613890
Fontana Unified School District,"176,626","168,396","83,660","13,628","1,878","7,342",684,893,"3,300",162,587,612,"1,104",487,53,50,180,204,"61,401","8,230",,9700613920
Foresthill Union Elementary School District,"6,056","5,854","5,610",25,101,45,1,14,11,15,0,1,3,7,5,0,0,2,66,202,,9500613980
Forestville Union Elementary School District,"6,597","6,402","5,903",52,76,88,8,26,15,24,3,2,10,7,5,0,0,2,276,195,,9500614010
Forks of Salmon Elementary School District,211,193,153,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,3,18,,9500614040
Fort Bragg Unified School District,"14,905","14,315","12,174",102,273,203,11,51,45,29,23,9,35,16,6,5,2,3,"1,547",590,,9700614070
Fort Ross Elementary School District,621,597,537,1,10,10,0,5,0,5,0,0,0,0,0,0,0,0,39,24,,9500614130
Fort Sage Unified School District,"3,324","3,122","2,167",518,150,59,1,7,14,4,7,7,19,28,6,4,7,11,200,202,,9700600011
Fortuna Union Elementary School District,"7,443","7,076","6,032",55,222,67,0,16,15,4,4,4,24,5,5,0,0,0,695,367,,9500614160
Fortuna Union High School District,"22,641","21,593","18,810",141,895,183,15,42,49,18,14,4,41,35,20,0,12,3,"1,529","1,048",,9600614190
Fountain Valley Elementary School District,"53,781","51,287","36,224",438,266,"12,423",456,"2,091",750,"1,252",756,"6,356",762,177,47,38,67,25,"1,759","2,494",,9500614220
Fowler Unified School District,"9,887","9,435","4,818",156,197,954,572,37,32,189,3,1,120,10,1,0,0,9,"3,300",452,,9700614250
Franklin Elementary School District,"2,633","2,534","2,001",32,32,239,165,22,7,14,1,0,30,4,1,1,1,1,226,99,,9500614340
Franklin-McKinley Elementary School District,"89,911","86,391","26,624","2,534",855,"35,848","1,458","2,589","4,766",259,318,"23,895","2,563",394,28,73,185,108,"20,136","3,520",,9500614370
Fremont Unified School District,"214,089","201,505","70,320","7,103",976,"108,332","38,711","38,118","14,285","1,716","3,059","5,249","7,194","1,169",195,238,166,570,"13,605","12,584",,9700614400
Fremont Union High School District,"223,745","214,809","85,857","3,071",764,"112,136","39,146","44,727","6,846","5,769","7,404","3,859","4,385",689,81,113,200,295,"12,292","8,936",,9600614430
French Gulch-Whiskeytown Elementary School District,439,412,379,3,18,3,0,3,0,0,0,0,0,1,1,0,0,0,8,27,,9500614490
Freshwater Elementary School District,"2,472","2,360","2,210",21,67,22,0,6,0,1,3,7,5,2,2,0,0,0,38,112,,9500614520
Fresno Unified School District,"382,456","363,749","186,070","31,545","7,231","40,739","2,542","1,735","2,873","1,449",406,"1,073","30,661",623,119,83,185,236,"97,541","18,707",,9700614550
Fruitvale Elementary School District,"20,382","19,443","15,071",712,275,"1,159",229,134,489,29,89,71,118,44,23,8,8,5,"2,182",939,,9500614700
Fullerton Elementary School District,"118,074","113,135","63,964","2,514",736,"26,834","1,925","3,306","2,799","1,049","14,256","1,728","1,771",292,75,33,128,56,"18,795","4,939",,9500614730
Fullerton Joint Union High School District,"249,728","238,970","135,352","5,967","1,941","48,689","3,662","5,582","7,688","2,002","23,855","2,706","3,194",641,162,97,252,130,"46,380","10,758",,9600614760
Galt Joint Union Elementary School District,"28,677","26,975","19,502",513,439,969,138,92,368,92,33,52,194,115,19,15,26,55,"5,437","1,702",,9500614790
Galt Joint Union High School District,"37,672","35,612","26,165",667,538,"1,333",179,144,500,117,34,71,288,140,23,15,39,63,"6,769","2,060",,9600614820
Garden Grove Unified School District,"274,618","264,673","105,272","3,154","1,768","104,090","1,173","4,188","4,762","1,798","6,108","80,378","5,683","1,521",191,189,844,297,"48,868","9,945",,9700614880
Garfield Elementary School District,326,322,312,1,5,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,,9500614910
Garvey Elementary School District,"53,116","51,990","9,426",218,282,"34,733",126,"22,636",641,801,149,"6,716","3,664",35,14,8,5,8,"7,296","1,126",,9500614940
Gateway Unified School District,"29,487","28,125","25,735",192,879,682,52,51,82,35,16,12,434,39,18,5,5,11,598,"1,362",,9700614950
Gazelle Union Elementary School District,299,273,251,1,9,2,0,1,0,0,1,0,0,0,0,0,0,0,10,26,,9500614970
General Shafter Elementary School District,"1,074","1,022",742,9,16,19,10,0,7,0,2,0,0,0,0,0,0,0,236,52,,9500615000
Gerber Union Elementary School District,"3,457","3,292","2,362",17,123,16,3,2,4,3,1,0,3,11,2,7,0,2,763,165,,9500615090
Geyserville Unified School District,"1,750","1,697","1,346",6,20,20,11,3,2,3,1,0,0,1,1,0,0,0,304,53,,9700615150
Gilroy Unified School District,"57,879","55,026","34,684","1,027",951,"3,967",476,726,"1,342",373,206,499,345,120,27,19,20,54,"14,277","2,853",,9700615180
Glendale Unified School District,"213,883","204,404","150,862","2,722",607,"37,364","1,930","2,804","13,804","1,445","14,611",740,"2,030",134,59,35,5,35,"12,715","9,479",,9700615240
Glendora Unified School District,"37,580","35,787","29,262",570,241,"2,802",321,900,822,199,145,107,308,29,10,4,4,11,"2,883","1,793",,9700615270
Gold Oak Union Elementary School District,"8,334","8,065","7,703",25,119,64,7,16,17,15,1,1,7,20,6,1,4,9,134,269,,9500615390
Gold Trail Union Elementary School District,"5,799","5,602","5,308",27,59,60,0,11,25,10,2,6,6,7,2,3,0,2,141,197,,9500615450
Golden Feather Union Elementary School District,"2,673","2,515","2,320",9,84,48,5,6,3,5,2,0,27,10,0,5,5,0,44,158,,9500615480
Golden Plains Unified School District,"7,263","7,021","3,763",60,79,64,44,5,4,0,0,1,10,0,0,0,0,0,"3,055",242,,9700691134
Golden Valley Unified School District,"10,400","10,073","8,565",140,148,253,37,30,59,26,15,5,81,6,0,1,0,5,961,327,,9700600068
Goleta Union Elementary School District,"76,041","72,429","53,701","1,365",581,"7,390",840,"2,473",920,612,803,862,880,96,40,15,15,26,"9,296","3,612",,9500615510
Gonzales Unified (9-12) School District,"2,112","2,063",835,6,16,26,0,0,15,11,0,0,0,2,0,0,0,2,"1,178",49,,9600606053
Gonzales Unified School District,"8,826","8,454","3,813",87,143,194,9,9,144,14,5,2,11,17,5,4,5,3,"4,200",372,,9700600046
Gorman Elementary School District,172,160,137,4,4,5,0,1,0,0,4,0,0,0,0,0,0,0,10,12,,9500615600
Grant Elementary School District,"2,792","2,684","2,552",16,48,55,5,15,8,7,6,0,14,1,1,0,0,0,12,108,,9500615690
Grass Valley Elementary School District,"25,100","24,162","22,855",86,336,319,66,89,36,49,9,9,61,18,7,4,1,6,548,938,,9500615780
Gratton Elementary School District,544,537,475,0,2,4,0,3,0,1,0,0,0,0,0,0,0,0,56,7,,9500615810
Gravenstein Union Elementary School District,"5,451","5,259","4,958",38,27,94,4,18,24,36,5,2,5,9,3,2,0,4,133,192,,9500615840
Graves Elementary School District,72,69,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,,9500615870
Green Point Elementary School District,189,181,160,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,,9500615990
Greenfield Union Elementary School District (Kern County),"49,200","46,822","23,786","3,682",648,"2,226","1,267",64,517,21,22,99,236,41,4,13,9,15,"16,439","2,378",,9500616050
Greenfield Union Elementary School District (Monterey County),"17,468","16,756","6,574",189,897,186,21,13,125,2,11,3,11,13,2,1,0,10,"8,897",712,,9500616080
Grenada Elementary School District,"1,060","1,010",946,3,48,7,6,0,0,0,0,0,1,2,0,0,0,2,4,50,,9500616110
Gridley Unified School District,"10,172","9,693","7,001",65,153,318,113,10,34,15,3,4,139,6,5,0,1,0,"2,150",479,,9700600051
Grossmont Union High School District,"453,105","426,262","324,651","28,547","4,709","19,345",747,"1,998","9,715","1,450",654,"2,406","2,375","2,553",376,"1,210",666,301,"46,457","26,843",,9600616230
Guadalupe Union Elementary School District,"7,155","6,709","3,425",75,105,284,0,11,216,45,3,0,9,6,0,3,3,0,"2,814",446,,9500616260
Guerneville Elementary School District,"5,083","4,841","4,420",35,77,52,9,12,19,8,2,1,1,16,8,2,3,3,241,242,,9500616320
Gustine Unified School District,"8,709","8,398","5,986",103,92,139,31,9,63,10,4,11,11,13,3,0,6,4,"2,065",311,,9700616323
Hacienda La Puente Unified School District,"116,563","112,534","52,681","1,845","1,001","26,361",367,"14,903","4,095","1,292","2,562","1,342","1,800",169,40,18,59,52,"30,477","4,029",,9700616325
Hamilton Union Elementary School District,"2,911","2,801","1,474",23,28,53,8,0,0,1,0,0,44,0,0,0,0,0,"1,223",110,,9500616410
Hamilton Union High School District,"3,462","3,343","1,961",25,36,70,11,2,0,2,0,0,55,0,0,0,0,0,"1,251",119,,9600616440
Hanford Elementary School District,"44,487","42,087","27,037","2,197",616,"1,467",129,130,837,83,23,41,224,40,12,6,6,16,"10,730","2,400",,9500616470
Hanford Joint Union High School District,"69,767","66,077","43,349","3,132",962,"2,607",256,225,"1,465",150,46,72,393,78,30,16,8,24,"15,949","3,690",,9600616500
Happy Camp Union Elementary School District,"1,343","1,258",926,2,301,7,0,1,4,0,1,1,0,1,1,0,0,0,21,85,,9500616530
Happy Valley Elementary School District,"1,399","1,335","1,289",11,1,17,2,7,2,4,1,0,1,2,1,1,0,0,15,64,,9500616560
Happy Valley Union Elementary School District,"6,002","5,735","5,306",18,165,87,5,2,6,9,0,2,63,19,11,1,4,3,140,267,,9500616570
Harmony Union Elementary School District,"4,312","4,158","3,921",16,31,88,12,24,6,23,9,3,11,5,2,0,1,2,97,154,,9500616620
Hart-Ransom Union Elementary School District,"4,230","4,095","3,131",150,42,206,26,26,24,2,3,32,93,32,1,8,12,11,534,135,,9500616650
Hawthorne Elementary School District,"73,661","70,231","23,454","19,870",523,"4,933",459,294,"2,001",235,259,998,687,853,41,30,92,690,"20,598","3,430",,9500616680
Hayward Unified School District,"165,923","154,008","59,624","20,778","1,628","33,896","4,435","6,207","15,871",860,765,"3,593","2,165","4,942",295,293,764,"3,590","33,140","11,915",,9700616740
Healdsburg Unified School District,"14,861","14,358","11,306",103,251,198,19,52,30,34,22,9,32,22,2,2,1,17,"2,478",503,,9700600044
Heber Elementary School District,"7,308","6,876","4,105",49,40,53,5,14,20,3,5,0,6,0,0,0,0,0,"2,629",432,,9500616830
Helendale Elementary School District,"6,383","6,129","5,078",342,54,217,2,21,53,31,88,9,13,16,5,4,0,7,422,254,,9500616860
Hemet Unified School District,"135,313","128,636","96,395","6,765","2,315","3,679",355,429,"1,669",212,212,247,555,398,110,73,124,91,"19,084","6,677",,9700616920
Hermosa Beach City Elementary School District,"19,502","18,684","16,927",226,49,"1,111",102,314,173,229,122,77,94,46,27,5,4,10,325,818,,9500617040
Hesperia Unified School District,"99,443","94,647","61,254","5,769","1,248","2,196",255,153,682,160,295,356,295,314,86,48,110,70,"23,866","4,796",,9700600014
Hickman Elementary School District,"1,249","1,216",953,3,18,14,1,2,2,0,0,0,9,0,0,0,0,0,228,33,,9500617160
Hillsborough City Elementary School District,"10,803","10,387","7,167",42,7,"3,039",272,"2,017",241,157,138,34,180,23,0,1,1,21,109,416,,9500617190
Hilmar Unified School District,"9,898","9,623","8,046",54,46,121,75,2,25,2,11,0,6,4,0,0,0,4,"1,352",275,,9700617220
Hollister School District,"42,678","40,541","26,250",404,704,"1,168",104,125,594,130,53,60,102,73,20,23,6,24,"11,942","2,137",,9500617340
Holtville Unified School District,"8,467","8,216","5,521",45,64,92,12,9,53,9,3,3,3,8,4,1,3,0,"2,486",251,,9700617430
Hope Elementary School District (Santa Barbara County),"15,459","14,886","12,414",222,93,739,93,227,115,102,75,36,91,25,4,3,4,14,"1,393",573,,9500617490
Hope Elementary School District (Tulare County),690,677,528,4,12,7,2,0,2,0,0,0,3,0,0,0,0,0,126,13,,9500617520
Horicon Elementary School District,"1,641","1,619","1,492",16,18,11,2,2,2,5,0,0,0,1,1,0,0,0,81,22,,9500617580
Hornbrook Elementary School District,712,663,615,4,28,1,0,0,0,1,0,0,0,0,0,0,0,0,15,49,,9500617620
Hot Springs Elementary School District,317,312,289,0,9,4,0,0,0,0,1,0,3,0,0,0,0,0,10,5,,9500617640
Howell Mountain Elementary School District,"3,661","3,451","2,660",152,27,353,18,44,114,24,98,8,47,5,1,0,3,1,254,210,,9500617760
Hueneme Elementary School District,"56,154","53,417","27,121","1,594",913,"4,889",107,113,"4,019",227,60,198,165,246,41,56,109,40,"18,654","2,737",,9500617850
Hughes-Elizabeth Lakes Union Elementary School District,"3,769","3,613","3,230",95,38,50,1,9,18,5,11,1,5,3,1,0,2,0,197,156,,9500617880
Hughson Unified School District,"9,689","9,294","7,606",71,105,171,86,13,39,2,2,9,20,15,10,0,1,4,"1,326",395,,9700600060
Huntington Beach City Elementary School District,"82,883","79,491","67,459",624,380,"8,446",440,"1,776",912,"1,168",640,"2,796",714,217,88,30,51,48,"2,365","3,392",,9500618030
Huntington Beach Union High School District,"312,204","298,724","201,910","3,055","1,654","67,207","1,597","7,010","4,113","4,688","3,642","42,320","3,837","1,137",267,193,475,202,"23,761","13,480",,9600618060
Hydesville Elementary School District,"1,364","1,298","1,224",4,33,6,0,3,1,0,1,0,1,0,0,0,0,0,31,66,,9500618120
"Igo, Ono, Platina Union Elementary School District; California","1,012",956,874,7,53,10,0,3,2,4,0,0,1,1,1,0,0,0,11,56,,9500618160
Imperial Unified School District,"21,283","20,380","13,710","1,898",200,436,38,36,172,39,47,32,72,11,0,2,6,3,"4,125",903,,9700618210
Indian Diggings Elementary School District,160,156,148,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,,9500618240
Indian Springs Elementary School District,217,207,174,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,,9500618270
Inglewood Unified School District,"112,010","107,308","24,584","53,313",709,"1,621",263,152,616,218,64,32,276,318,12,15,30,261,"26,763","4,702",,9700618390
Irvine Unified School District,"186,177","176,004","94,628","3,115",325,"72,458","9,278","24,421","5,379","5,862","15,307","6,874","5,337",282,59,67,82,74,"5,196","10,173",,9700684500
Island Union Elementary School District,"1,478","1,412","1,109",39,5,18,0,0,2,1,1,2,12,1,0,1,0,0,240,66,,9500618510
Jacoby Creek Elementary School District,"2,642","2,544","2,395",16,27,73,12,18,8,12,7,6,10,6,5,0,1,0,27,98,,9500618660
